energy,norm,counts
0.2953929901123047,0.0,0.0
0.3003920018672943,0.0,0.0
0.30539101362228394,0.0,0.0
0.31038999557495117,0.0,0.0
0.3153890073299408,0.0,0.0
0.32038798928260803,0.0,0.0
0.32538700103759766,0.0,0.0
0.3303860127925873,0.0,0.0
0.3353849947452545,0.0,0.0
0.34038400650024414,0.0,0.0
0.3453829884529114,0.0,0.0
0.350382000207901,0.0,0.0
0.3553810119628906,0.0,0.0
0.36037999391555786,0.0,0.0
0.3653790056705475,3.0,3.0
0.3703779876232147,14.0,14.0
0.37537699937820435,19.0,19.0
0.38037601113319397,20.0,20.0
0.3853749930858612,27.0,27.0
0.39037400484085083,19.0,19.0
0.39537298679351807,32.0,32.0
0.4003719985485077,27.0,27.0
0.4053710103034973,31.0,31.0
0.41036999225616455,19.0,19.0
